type,geometry.type,geometry.coordinates,properties.description.name,properties.description.id,properties.description.url,properties.latest-images,properties.description.fov_lft,properties.description.tilt_current,properties.description.sponsor,properties.description.region,properties.description.is_patrol_mode,properties.description.activated_at,properties.description.type,properties.description.last_movement_at,properties.description.fov,properties.description.is_currently_patrolling,properties.description.zoom_current,properties.description.fov_center,properties.description.network,properties.description.state,properties.description.county,properties.description.ProdNbr,properties.description.isp,properties.description.fov_rt,properties.description.attribution,properties.description.lastupdate,properties.description.ptz,properties.description.az_current
Feature,Point,"[-117.12, 32.55, 10]",,hpwren0_unknown direction,http://hpwren.ucsd.edu/cameras/TJE.html,"[[{'image': 'http://hpwren.ucsd.edu/cameras/L/tje-1-mobo-c.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/tje-1-mobo-c.jpg', 'color': True, 'diff': False, 'direction': 'unknown direction', 'deg': False}], [{'image': 'http://hpwren.ucsd.edu/cameras/L/tje-2-mobo-c.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/tje-2-mobo-c.jpg', 'color': True, 'diff': False, 'direction': 'unknown direction', 'deg': False}], [{'image': 'http://hpwren.ucsd.edu/cameras/L/tje-1-mobo-c-diff.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/tje-1-mobo-c-diff.jpg', 'color': True, 'diff': True, 'direction': 'unknown direction', 'deg': False}], [{'image': 'http://hpwren.ucsd.edu/cameras/L/tje-2-mobo-c-diff.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/tje-2-mobo-c-diff.jpg', 'color': True, 'diff': True, 'direction': 'unknown direction', 'deg': False}], [{'image': 'http://hpwren.ucsd.edu/cameras/L/tje-1-mobo-m.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/tje-1-mobo-m.jpg', 'color': False, 'diff': False, 'direction': 'unknown direction', 'deg': False}], [{'image': 'http://hpwren.ucsd.edu/cameras/L/tje-2-mobo-m.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/tje-2-mobo-m.jpg', 'color': False, 'diff': False, 'direction': 'unknown direction', 'deg': False}], [{'image': 'http://hpwren.ucsd.edu/cameras/L/tje-1-mobo-m-diff.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/tje-1-mobo-m-diff.jpg', 'color': False, 'diff': True, 'direction': 'unknown direction', 'deg': False}], [{'image': 'http://hpwren.ucsd.edu/cameras/L/tje-2-mobo-m-diff.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/tje-2-mobo-m-diff.jpg', 'color': False, 'diff': True, 'direction': 'unknown direction', 'deg': False}]]",,,,,,,,,,,,,,,,,,,,,,
Feature,Point,"[-116.8081, 33.1599, 4055]",Big Black Mountain,hpwren1_north,http://hpwren.ucsd.edu/cameras/BBlackMtn.html,"[[{'image': 'http://hpwren.ucsd.edu/cameras/L/bm-n-mobo-c.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bm-n-mobo-c.jpg', 'color': True, 'diff': False, 'direction': 'north', 'deg': False, 'fov_center': [-116.8081, 33.61071054911843], 'fov_lft': [-117.18848493961107, 33.478094173241445], 'fov_rt': [-116.42771506038892, 33.478094173241445]}], [{'image': 'http://hpwren.ucsd.edu/cameras/L/bm-n-mobo-c-diff.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bm-n-mobo-c-diff.jpg', 'color': True, 'diff': True, 'direction': 'north', 'deg': False, 'fov_center': [-116.8081, 33.61071054911843], 'fov_lft': [-117.18848493961107, 33.478094173241445], 'fov_rt': [-116.42771506038892, 33.478094173241445]}], [{'image': 'http://hpwren.ucsd.edu/cameras/L/bm-n-mobo-m.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bm-n-mobo-m.jpg', 'color': False, 'diff': False, 'direction': 'north', 'deg': False, 'fov_center': [-116.8081, 33.61071054911843], 'fov_lft': [-117.18848493961107, 33.478094173241445], 'fov_rt': [-116.42771506038892, 33.478094173241445]}], [{'image': 'http://hpwren.ucsd.edu/cameras/L/bm-n-mobo-m-diff.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bm-n-mobo-m-diff.jpg', 'color': False, 'diff': True, 'direction': 'north', 'deg': False, 'fov_center': [-116.8081, 33.61071054911843], 'fov_lft': [-117.18848493961107, 33.478094173241445], 'fov_rt': [-116.42771506038892, 33.478094173241445]}]]",,,,,,,,,,,,,,,,,,,,,,
Feature,Point,"[-116.8081, 33.1599, 4055]",Big Black Mountain,hpwren1_east,http://hpwren.ucsd.edu/cameras/BBlackMtn.html,"[[{'image': 'http://hpwren.ucsd.edu/cameras/L/bm-e-mobo-c.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bm-e-mobo-c.jpg', 'color': True, 'diff': False, 'direction': 'east', 'deg': False, 'fov_center': [-116.27210868391522, 33.1599], 'fov_lft': [-116.42771506038892, 33.478094173241445], 'fov_rt': [-116.43045773522505, 32.840536030162966]}], [{'image': 'http://hpwren.ucsd.edu/cameras/L/bm-e-mobo-c-diff.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bm-e-mobo-c-diff.jpg', 'color': True, 'diff': True, 'direction': 'east', 'deg': False, 'fov_center': [-116.27210868391522, 33.1599], 'fov_lft': [-116.42771506038892, 33.478094173241445], 'fov_rt': [-116.43045773522505, 32.840536030162966]}], [{'image': 'http://hpwren.ucsd.edu/cameras/L/bm-e-mobo-m.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bm-e-mobo-m.jpg', 'color': False, 'diff': False, 'direction': 'east', 'deg': False, 'fov_center': [-116.27210868391522, 33.1599], 'fov_lft': [-116.42771506038892, 33.478094173241445], 'fov_rt': [-116.43045773522505, 32.840536030162966]}], [{'image': 'http://hpwren.ucsd.edu/cameras/L/bm-e-mobo-m-diff.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bm-e-mobo-m-diff.jpg', 'color': False, 'diff': True, 'direction': 'east', 'deg': False, 'fov_center': [-116.27210868391522, 33.1599], 'fov_lft': [-116.42771506038892, 33.478094173241445], 'fov_rt': [-116.43045773522505, 32.840536030162966]}]]",,,,,,,,,,,,,,,,,,,,,,
Feature,Point,"[-116.8081, 33.1599, 4055]",Big Black Mountain,hpwren1_south,http://hpwren.ucsd.edu/cameras/BBlackMtn.html,"[[{'image': 'http://hpwren.ucsd.edu/cameras/L/bm-s-mobo-c.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bm-s-mobo-c.jpg', 'color': True, 'diff': False, 'direction': 'south', 'deg': False, 'fov_center': [-116.8081, 32.709056764890555], 'fov_lft': [-116.43045773522505, 32.840536030162966], 'fov_rt': [-117.18574226477494, 32.840536030162966]}], [{'image': 'http://hpwren.ucsd.edu/cameras/L/bm-s-mobo-c-diff.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bm-s-mobo-c-diff.jpg', 'color': True, 'diff': True, 'direction': 'south', 'deg': False, 'fov_center': [-116.8081, 32.709056764890555], 'fov_lft': [-116.43045773522505, 32.840536030162966], 'fov_rt': [-117.18574226477494, 32.840536030162966]}], [{'image': 'http://hpwren.ucsd.edu/cameras/L/bm-s-mobo-m.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bm-s-mobo-m.jpg', 'color': False, 'diff': False, 'direction': 'south', 'deg': False, 'fov_center': [-116.8081, 32.709056764890555], 'fov_lft': [-116.43045773522505, 32.840536030162966], 'fov_rt': [-117.18574226477494, 32.840536030162966]}], [{'image': 'http://hpwren.ucsd.edu/cameras/L/bm-s-mobo-m-diff.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bm-s-mobo-m-diff.jpg', 'color': False, 'diff': True, 'direction': 'south', 'deg': False, 'fov_center': [-116.8081, 32.709056764890555], 'fov_lft': [-116.43045773522505, 32.840536030162966], 'fov_rt': [-117.18574226477494, 32.840536030162966]}]]",,,,,,,,,,,,,,,,,,,,,,
Feature,Point,"[-116.8081, 33.1599, 4055]",Big Black Mountain,hpwren1_west,http://hpwren.ucsd.edu/cameras/BBlackMtn.html,"[[{'image': 'http://hpwren.ucsd.edu/cameras/L/bm-w-mobo-c.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bm-w-mobo-c.jpg', 'color': True, 'diff': False, 'direction': 'west', 'deg': False, 'fov_center': [-117.34409131608477, 33.1599], 'fov_lft': [-117.18574226477494, 32.840536030162966], 'fov_rt': [-117.18848493961107, 33.478094173241445]}], [{'image': 'http://hpwren.ucsd.edu/cameras/L/bm-w-mobo-c-diff.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bm-w-mobo-c-diff.jpg', 'color': True, 'diff': True, 'direction': 'west', 'deg': False, 'fov_center': [-117.34409131608477, 33.1599], 'fov_lft': [-117.18574226477494, 32.840536030162966], 'fov_rt': [-117.18848493961107, 33.478094173241445]}], [{'image': 'http://hpwren.ucsd.edu/cameras/L/bm-w-mobo-m.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bm-w-mobo-m.jpg', 'color': False, 'diff': False, 'direction': 'west', 'deg': False, 'fov_center': [-117.34409131608477, 33.1599], 'fov_lft': [-117.18574226477494, 32.840536030162966], 'fov_rt': [-117.18848493961107, 33.478094173241445]}], [{'image': 'http://hpwren.ucsd.edu/cameras/L/bm-w-mobo-m-diff.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bm-w-mobo-m-diff.jpg', 'color': False, 'diff': True, 'direction': 'west', 'deg': False, 'fov_center': [-117.34409131608477, 33.1599], 'fov_lft': [-117.18574226477494, 32.840536030162966], 'fov_rt': [-117.18848493961107, 33.478094173241445]}]]",,,,,,,,,,,,,,,,,,,,,,
Feature,Point,"[-117.12, 32.98, 1600]",Black Mountain,hpwren2_north,http://hpwren.ucsd.edu/cameras/BL.html,"[[{'image': 'http://hpwren.ucsd.edu/cameras/L/bl-n-mobo-c.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bl-n-mobo-c.jpg', 'color': True, 'diff': False, 'direction': 'north', 'deg': False, 'fov_center': [-117.12, 33.43082361873078], 'fov_lft': [-117.49960229720907, 33.298207358327076], 'fov_rt': [-116.74039770279094, 33.298207358327076]}], [{'image': 'http://hpwren.ucsd.edu/cameras/L/bl-n-mobo-c-diff.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bl-n-mobo-c-diff.jpg', 'color': True, 'diff': True, 'direction': 'north', 'deg': False, 'fov_center': [-117.12, 33.43082361873078], 'fov_lft': [-117.49960229720907, 33.298207358327076], 'fov_rt': [-116.74039770279094, 33.298207358327076]}], [{'image': 'http://hpwren.ucsd.edu/cameras/L/bl-n-mobo-m.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bl-n-mobo-m.jpg', 'color': False, 'diff': False, 'direction': 'north', 'deg': False, 'fov_center': [-117.12, 33.43082361873078], 'fov_lft': [-117.49960229720907, 33.298207358327076], 'fov_rt': [-116.74039770279094, 33.298207358327076]}], [{'image': 'http://hpwren.ucsd.edu/cameras/L/bl-n-mobo-m-diff.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bl-n-mobo-m-diff.jpg', 'color': False, 'diff': True, 'direction': 'north', 'deg': False, 'fov_center': [-117.12, 33.43082361873078], 'fov_lft': [-117.49960229720907, 33.298207358327076], 'fov_rt': [-116.74039770279094, 33.298207358327076]}]]",,,,,,,,,,,,,,,,,,,,,,
Feature,Point,"[-117.12, 32.98, 1600]",Black Mountain,hpwren2_east,http://hpwren.ucsd.edu/cameras/BL.html,"[[{'image': 'http://hpwren.ucsd.edu/cameras/L/bl-e-mobo-c.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bl-e-mobo-c.jpg', 'color': True, 'diff': False, 'direction': 'east', 'deg': False, 'fov_center': [-116.58509818227772, 32.98], 'fov_lft': [-116.74039770279094, 33.298207358327076], 'fov_rt': [-116.74311609844423, 32.660630738922485]}], [{'image': 'http://hpwren.ucsd.edu/cameras/L/bl-e-mobo-c-diff.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bl-e-mobo-c-diff.jpg', 'color': True, 'diff': True, 'direction': 'east', 'deg': False, 'fov_center': [-116.58509818227772, 32.98], 'fov_lft': [-116.74039770279094, 33.298207358327076], 'fov_rt': [-116.74311609844423, 32.660630738922485]}], [{'image': 'http://hpwren.ucsd.edu/cameras/L/bl-e-mobo-m.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bl-e-mobo-m.jpg', 'color': False, 'diff': False, 'direction': 'east', 'deg': False, 'fov_center': [-116.58509818227772, 32.98], 'fov_lft': [-116.74039770279094, 33.298207358327076], 'fov_rt': [-116.74311609844423, 32.660630738922485]}], [{'image': 'http://hpwren.ucsd.edu/cameras/L/bl-e-mobo-m-diff.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bl-e-mobo-m-diff.jpg', 'color': False, 'diff': True, 'direction': 'east', 'deg': False, 'fov_center': [-116.58509818227772, 32.98], 'fov_lft': [-116.74039770279094, 33.298207358327076], 'fov_rt': [-116.74311609844423, 32.660630738922485]}]]",,,,,,,,,,,,,,,,,,,,,,
Feature,Point,"[-117.12, 32.98, 1600]",Black Mountain,hpwren2_south,http://hpwren.ucsd.edu/cameras/BL.html,"[[{'image': 'http://hpwren.ucsd.edu/cameras/L/bl-s-mobo-c.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bl-s-mobo-c.jpg', 'color': True, 'diff': False, 'direction': 'south', 'deg': False, 'fov_center': [-117.12, 32.52914378468391], 'fov_lft': [-116.74311609844423, 32.660630738922485], 'fov_rt': [-117.49688390155578, 32.660630738922485]}], [{'image': 'http://hpwren.ucsd.edu/cameras/L/bl-s-mobo-c-diff.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bl-s-mobo-c-diff.jpg', 'color': True, 'diff': True, 'direction': 'south', 'deg': False, 'fov_center': [-117.12, 32.52914378468391], 'fov_lft': [-116.74311609844423, 32.660630738922485], 'fov_rt': [-117.49688390155578, 32.660630738922485]}], [{'image': 'http://hpwren.ucsd.edu/cameras/L/bl-s-mobo-m.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bl-s-mobo-m.jpg', 'color': False, 'diff': False, 'direction': 'south', 'deg': False, 'fov_center': [-117.12, 32.52914378468391], 'fov_lft': [-116.74311609844423, 32.660630738922485], 'fov_rt': [-117.49688390155578, 32.660630738922485]}], [{'image': 'http://hpwren.ucsd.edu/cameras/L/bl-s-mobo-m-diff.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bl-s-mobo-m-diff.jpg', 'color': False, 'diff': True, 'direction': 'south', 'deg': False, 'fov_center': [-117.12, 32.52914378468391], 'fov_lft': [-116.74311609844423, 32.660630738922485], 'fov_rt': [-117.49688390155578, 32.660630738922485]}]]",,,,,,,,,,,,,,,,,,,,,,
Feature,Point,"[-117.12, 32.98, 1600]",Black Mountain,hpwren2_west,http://hpwren.ucsd.edu/cameras/BL.html,"[[{'image': 'http://hpwren.ucsd.edu/cameras/L/bl-w-mobo-c.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bl-w-mobo-c.jpg', 'color': True, 'diff': False, 'direction': 'west', 'deg': False, 'fov_center': [-117.65490181772229, 32.98], 'fov_lft': [-117.49688390155578, 32.660630738922485], 'fov_rt': [-117.49960229720907, 33.298207358327076]}], [{'image': 'http://hpwren.ucsd.edu/cameras/L/bl-w-mobo-c-diff.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bl-w-mobo-c-diff.jpg', 'color': True, 'diff': True, 'direction': 'west', 'deg': False, 'fov_center': [-117.65490181772229, 32.98], 'fov_lft': [-117.49688390155578, 32.660630738922485], 'fov_rt': [-117.49960229720907, 33.298207358327076]}], [{'image': 'http://hpwren.ucsd.edu/cameras/L/bl-w-mobo-m.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bl-w-mobo-m.jpg', 'color': False, 'diff': False, 'direction': 'west', 'deg': False, 'fov_center': [-117.65490181772229, 32.98], 'fov_lft': [-117.49688390155578, 32.660630738922485], 'fov_rt': [-117.49960229720907, 33.298207358327076]}], [{'image': 'http://hpwren.ucsd.edu/cameras/L/bl-w-mobo-m-diff.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bl-w-mobo-m-diff.jpg', 'color': False, 'diff': True, 'direction': 'west', 'deg': False, 'fov_center': [-117.65490181772229, 32.98], 'fov_lft': [-117.49688390155578, 32.660630738922485], 'fov_rt': [-117.49960229720907, 33.298207358327076]}]]",,,,,,,,,,,,,,,,,,,,,,
Feature,Point,"[-116.9198, 33.3346, 5500]",Boucher Hill,hpwren3_north,http://hpwren.ucsd.edu/cameras/BH.html,"[[{'image': 'http://hpwren.ucsd.edu/cameras/L/bh-n-mobo-c.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bh-n-mobo-c.jpg', 'color': True, 'diff': False, 'direction': 'north', 'deg': False, 'fov_center': [-116.9198, 33.785397823642114], 'fov_lft': [-117.30095166269716, 33.6527813298777], 'fov_rt': [-116.53864833730283, 33.652781329877705]}], [{'image': 'http://hpwren.ucsd.edu/cameras/L/bh-n-mobo-c-diff.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bh-n-mobo-c-diff.jpg', 'color': True, 'diff': True, 'direction': 'north', 'deg': False, 'fov_center': [-116.9198, 33.785397823642114], 'fov_lft': [-117.30095166269716, 33.6527813298777], 'fov_rt': [-116.53864833730283, 33.652781329877705]}], [{'image': 'http://hpwren.ucsd.edu/cameras/L/bh-n-mobo-m.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bh-n-mobo-m.jpg', 'color': False, 'diff': False, 'direction': 'north', 'deg': False, 'fov_center': [-116.9198, 33.785397823642114], 'fov_lft': [-117.30095166269716, 33.6527813298777], 'fov_rt': [-116.53864833730283, 33.652781329877705]}], [{'image': 'http://hpwren.ucsd.edu/cameras/L/bh-n-mobo-m-diff.jpg', 'thumbnail': 'http://hpwren.ucsd.edu/cameras/L/bh-n-mobo-m-diff.jpg', 'color': False, 'diff': True, 'direction': 'north', 'deg': False, 'fov_center': [-116.9198, 33.785397823642114], 'fov_lft': [-117.30095166269716, 33.6527813298777], 'fov_rt': [-116.53864833730283, 33.652781329877705]}]]",,,,,,,,,,,,,,,,,,,,,,
